srcentity,timeinterval,scaledcountDISTINCTsrcentity,scaledcountDISTINCTdstentity,scaledsumauth_attempts,scaledmaxauth_attempts,scaledminauth_attempts,scaledavgauth_attempts,scaledmostcommonvalueudafauth_success,scaledavgauth_success,scaledmostcommonvalueudafcipher_alg,scaledcountDISTINCTcipher_alg,scaledmostcommonvalueudafclient,scaledmostcommonvalueudafserver,scaledmostcommonvalueudafversion,scaledmostcommonvalueudafdirection,scaledavgdirection,scaledmostcommonvalueudafdstport,scaledcountDISTINCTdstport,scaledmostcommonvalueudafsrcport,scaledcountDISTINCTsrcport,score
nafhh-atlas05.desy.de.,1.496394000902E12,6.682731950256528E-13,6.682731950256528E-13,4.009639170153917E-12,1.3365463900513056E-12,1.3365463900513056E-12,1.3365463900513056E-12,6.682731950256528E-13,6.682731950256528E-13,0.0,6.682731950256528E-13,2.0048195850769587E-12,0.0,1.3365463900513056E-12,0.0,0.0,1.4702010290564363E-11,6.682731950256528E-13,3.8992404383356794E-8,6.682731950256528E-13,0.8045333518105892
dhcp-24-53-249-16.cable.user.start.ca.,1.496401200902E12,6.682699795998693E-13,1.3365399591997386E-12,4.009619877599216E-12,6.682699795998693E-13,6.682699795998693E-13,6.682699795998693E-13,0.0,3.3413498979993466E-13,0.0,6.682699795998693E-13,8.019239755198432E-12,0.0,1.3365399591997386E-12,0.0,0.0,1.4701939551197126E-11,6.682699795998693E-13,3.336404700150308E-8,1.3365399591997386E-12,0.8010586826231573
x4e31cffc.dyn.telefonica.de.,1.496412000902E12,6.682651565192101E-13,6.682651565192101E-13,8.01918187823052E-12,2.6730606260768404E-12,2.6730606260768404E-12,2.6730606260768404E-12,0.0,0.0,0.0,6.682651565192101E-13,8.68744703474973E-12,0.0,1.3365303130384202E-12,0.0,0.0,1.470183344342262E-11,6.682651565192101E-13,3.5316476991727214E-8,6.682651565192101E-13,0.7993269795690848
edwardsnowden1.torservers.net.,1.496397600902E12,6.682715873088935E-13,6.682715873088935E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.682715873088935E-13,2.0048147619266805E-11,0.0,1.336543174617787E-12,0.0,0.0,1.4701974920795658E-11,6.682715873088935E-13,2.4751443050746796E-8,6.682715873088935E-13,0.7953008833370884
lxplus010.cern.ch.,1.496390400902E12,6.682748027501481E-13,1.3365496055002963E-12,1.0024122041252222E-11,1.3365496055002963E-12,6.682748027501481E-13,1.1137913379169136E-12,6.682748027501481E-13,6.682748027501481E-13,0.0,1.3365496055002963E-12,2.0048244082504445E-12,0.0,1.3365496055002963E-12,6.682748027501481E-13,6.682748027501481E-13,1.470204566050326E-11,6.682748027501481E-13,3.92277309214337E-8,2.0048244082504445E-12,0.7870255061167984
88-111-194-118.dynamic.dsl.as9105.com.,1.496412000902E12,6.682651565192104E-13,6.682651565192104E-13,4.009590939115263E-12,1.3365303130384208E-12,1.3365303130384208E-12,1.3365303130384208E-12,6.682651565192104E-13,6.682651565192104E-13,0.0,6.682651565192104E-13,8.019181878230525E-12,0.0,1.3365303130384208E-12,0.0,0.0,1.470183344342263E-11,6.682651565192104E-13,1.595349408158311E-8,6.682651565192104E-13,0.7864579747691922
F1.232.166.162,1.496408400902E12,6.682667642050277E-13,6.682667642050277E-13,1.0692268227280444E-11,2.673067056820111E-12,2.673067056820111E-12,2.673067056820111E-12,0.0,0.0,0.0,6.682667642050277E-13,8.68746793466536E-12,0.0,1.3365335284100555E-12,0.0,0.0,1.470186881251061E-11,6.682667642050277E-13,2.8250309190003344E-8,6.682667642050277E-13,0.7830613706557757
46-253-189-210.dynamic.monzoon.net.,1.496404800902E12,6.682683718985806E-13,1.3365367437971612E-12,4.009610231391484E-12,1.3365367437971612E-12,0.0,6.682683718985806E-13,0.0,3.341341859492903E-13,0.0,6.682683718985806E-13,7.350952090884387E-12,0.0,1.3365367437971612E-12,0.0,0.0,1.4701904181768773E-11,6.682683718985806E-13,4.017428971342697E-8,1.3365367437971612E-12,0.7808051215339948
aduedder2.physik.uni-mainz.de.,1.496386800902E12,6.682764104823796E-13,6.682764104823796E-13,2.0048292314471386E-12,6.682764104823796E-13,6.682764104823796E-13,6.682764104823796E-13,6.682764104823796E-13,6.682764104823796E-13,3.3413820524118975E-12,6.682764104823796E-13,7.351040515306175E-12,3.3413820524118975E-12,1.3365528209647591E-12,0.0,0.0,5.345543007448554E-9,6.682764104823796E-13,2.466073609962077E-8,6.682764104823796E-13,0.7808051215339948
shuarworry.com.,1.496415600902E12,6.68263548841128E-13,2.0047906465233837E-12,0.0,0.0,0.0,0.0,0.0,0.0,2.673054195364512E-12,6.68263548841128E-13,1.002395323261692E-11,0.0,0.0,0.0,0.0,1.4701798074504816E-11,6.68263548841128E-13,3.0903847816157965E-8,2.0047906465233837E-12,0.779679436009608
